tournament_id;date;meta;archetype_id;group;set;number;card;copies_total;lists_with_card;lists_total;avg_count;inclusion_rate
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;pokemon;MEG;104;Mega Kangaskhan ex;11;3;3;3.6667;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;pokemon;TWM;25;Teal Mask Ogerpon ex;8;3;3;2.6667;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;pokemon;POR;62;Meowth ex;8;3;3;2.6667;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;pokemon;SSP;76;Latias ex;6;3;3;2.0;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;pokemon;JTG;56;Lillie's Clefairy ex;5;3;3;1.6667;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;pokemon;TWM;112;Cornerstone Mask Ogerpon ex;1;1;3;0.3333;0.3333
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;pokemon;ASC;142;Fezandipiti ex;3;3;3;1.0;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;pokemon;TEF;25;Iron Leaves ex;2;2;3;0.6667;0.6667
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;pokemon;TWM;64;Wellspring Mask Ogerpon ex;3;3;3;1.0;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;pokemon;SSP;111;Passimian;2;2;3;0.6667;0.6667
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;pokemon;SSP;56;Chien-Pao;3;3;3;1.0;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;pokemon;TEF;81;Iron Crown ex;2;2;3;0.6667;0.6667
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;pokemon;SSP;18;Paldean Tauros;1;1;3;0.3333;0.3333
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;trainer;SCR;133;Crispin;12;3;3;4.0;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;trainer;MEG;114;Boss's Orders;6;3;3;2.0;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;trainer;SSP;170;Cyrano;6;3;3;2.0;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;trainer;TEF;145;Ciphermaniac's Codebreaking;3;3;3;1.0;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;trainer;MEG;115;Energy Switch;12;3;3;4.0;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;trainer;MEG;131;Ultra Ball;12;3;3;4.0;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;trainer;ASC;196;Night Stretcher;6;3;3;2.0;1.0
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;basic-box-m;trainer;TEF;157;Prime Catcher;1;1;3;0.3333;0.3333
